epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.39244,0,28.8076,0,0,0,0,0,0,11.1186,0,1.667e-05,1.667e-05,1.667e-05
2,4.42321,0,28.736,0,0,0,0,0,0,11.1103,0,4.90198e-05,4.90198e-05,4.90198e-05
3,6.56206,0,28.6559,0,0,0,0,0,0,11.1026,0,8.00493e-05,8.00493e-05,8.00493e-05
4,8.5645,0,28.4752,0,0,0,0,0,0,11.092,0,0.000109759,0.000109759,0.000109759
5,10.6611,0,28.3149,0,0,0,0,0,0,11.0793,0,0.000138148,0.000138148,0.000138148
6,12.7095,0,28.1606,0,0,0,0,0,0,11.0793,0,0.000165216,0.000165216,0.000165216
7,14.719,0,28.0059,0,0,0,0,0,0,11.0639,0,0.000190965,0.000190965,0.000190965
8,16.8479,0,27.8978,0,0,0,0,0,0,11.0466,0,0.000215393,0.000215393,0.000215393
9,21.1005,0,27.6524,0,0,0,0,0,0,11.0466,0,0.000238501,0.000238501,0.000238501
10,27.4123,0,27.661,0,0,0,0,0,0,11.0284,0,0.000260289,0.000260289,0.000260289
11,31.1732,0,27.4524,0,0,0,0,0,0,11.0284,0,0.000280756,0.000280756,0.000280756
12,34.5242,0,27.4368,0,0,0,0,0,0,11.006,0,0.000299903,0.000299903,0.000299903
13,37.9568,0,27.1269,0,0,0,0,0,0,11.006,0,0.00031773,0.00031773,0.00031773
14,41.9639,0,27.0717,0,0,0,0,0,0,11.006,0,0.000334237,0.000334237,0.000334237
15,46.645,0,26.9433,0,0,0,0,0,0,10.9824,0,0.000349423,0.000349423,0.000349423
16,50.7284,0,26.7588,0,0,0,0,0,0,10.9824,0,0.000363289,0.000363289,0.000363289
17,55.3309,0,26.7123,0,0,0,0,0,0,10.9824,0,0.000375835,0.000375835,0.000375835
18,59.5992,0,26.6526,0,0,0,0,0,0,10.9537,0,0.000387061,0.000387061,0.000387061
19,63.1593,0,26.4121,0,0,0,0,0,0,10.9537,0,0.000396966,0.000396966,0.000396966
20,66.5821,0,26.3986,0,0,0,0,0,0,10.9537,0,0.000405551,0.000405551,0.000405551
21,70.0114,0,26.4229,0,0,0,0,0,0,10.9278,0,0.000412816,0.000412816,0.000412816
22,73.6528,0,26.0983,0,0,0,0,0,0,10.9278,0,0.00041876,0.00041876,0.00041876
23,76.8702,0,26.0496,0,0,0,0,0,0,10.9278,0,0.000423385,0.000423385,0.000423385
24,79.9174,0,26.0827,0,0,0,0,0,0,10.9278,0,0.000426689,0.000426689,0.000426689
25,83.4278,0,26.0735,0,0,0,0,0,0,10.8995,0,0.000428672,0.000428672,0.000428672
26,86.3943,0,25.7238,0,0,0,0,0,0,10.8995,0,0.000429336,0.000429336,0.000429336
27,89.3461,0,25.6598,0,0,0,0,0,0,10.8995,0,0.000428679,0.000428679,0.000428679
28,92.1299,0,25.662,0,0,0,0,0,0,10.8995,0,0.000426702,0.000426702,0.000426702
29,95.4534,0,25.6513,0,0,0,0,0,0,10.8995,0,0.000423405,0.000423405,0.000423405
30,98.2784,0,25.6887,0,0,0,0,0,0,10.8669,0,0.000418787,0.000418787,0.000418787
31,101.64,0,25.2943,0,0,0,0,0,0,10.8669,0,0.000412849,0.000412849,0.000412849
32,105.203,0,25.3832,0,0,0,0,0,0,10.8669,0,0.000405591,0.000405591,0.000405591
33,108.22,0,25.3528,0,0,0,0,0,0,10.8669,0,0.000397013,0.000397013,0.000397013
34,111.315,0,25.2711,0,0,0,0,0,0,10.8669,0,0.000387114,0.000387114,0.000387114
35,114.282,0,25.3919,0,0,0,0,0,0,10.8669,0,0.000375895,0.000375895,0.000375895
36,117.469,0,25.521,0,0,0,0,0,0,10.8346,0,0.000363356,0.000363356,0.000363356
37,120.775,0,25.0288,0,0,0,0,0,0,10.8346,0,0.000349497,0.000349497,0.000349497
38,124.181,0,25.0803,0,0,0,0,0,0,10.8346,0,0.000334317,0.000334317,0.000334317
39,128.499,0,25.0185,0,0,0,0,0,0,10.8346,0,0.000317817,0.000317817,0.000317817
40,132.378,0,24.9737,0,0,0,0,0,0,10.8346,0,0.000299997,0.000299997,0.000299997
41,136.225,0,24.8723,0,0,0,0,0,0,10.8346,0,0.000280856,0.000280856,0.000280856
42,140.4,0,24.9432,0,0,0,0,0,0,10.8346,0,0.000260395,0.000260395,0.000260395
43,144.73,0,24.9024,0,0,0,0,0,0,10.7796,0,0.000238614,0.000238614,0.000238614
44,148.968,0,24.7517,0,0,0,0,0,0,10.7796,0,0.000215513,0.000215513,0.000215513
45,152.254,0,24.7125,0,0,0,0,0,0,10.7796,0,0.000191092,0.000191092,0.000191092
46,155.927,0,24.7135,0,0,0,0,0,0,10.7796,0,0.00016535,0.00016535,0.00016535
